Designator,Mid X,Mid Y,Rotation,Layer
C1,162.7,-103.0,180.0,top
C2,162.7,-100.0,180.0,top
C3,147.5,-96.45,90.0,top
C4,144.5,-96.45,270.0,top
C5,147.5,-92.3,270.0,top
C6,195.3,-95.75,0.0,top
C7,195.3,-99.75,0.0,top
C8,195.3,-103.75,0.0,top
C9,172.0,-92.25,180.0,top
J1,173.89,-88.0,90.0,top
J2,173.89,-112.0,90.0,top
J3,139.17,-107.75,270.0,top
J4,138.23,-95.5,0.0,top
MK1,206.0,-90.0,0.0,top
R1,155.0,-92.25,0.0,top
R10,189.8375,-109.5,0.0,top
R2,189.8375,-89.75,180.0,top
R3,176.95,-92.25,180.0,top
R4,146.9625,-110.5,0.0,top
R5,146.9625,-107.25,0.0,top
R6,189.8375,-93.7,0.0,top
R7,189.8375,-97.75,0.0,top
R8,189.9125,-101.5,180.0,top
R9,189.9125,-105.5,0.0,top
S1,205.0,-100.0,0.0,top
S2,205.0,-110.0,0.0,top
U1,155.0,-100.0,270.0,top
U2,174.0,-100.0,0.0,top
U3,195.79,-90.0,0.0,top
Y1,146.9,-101.65,0.0,top
